algorithm,rank,frobenius_error,spectral_error
rsvd_srft,1,0.37697842441723406,0.24074194163329374
rsvd_srft,11,0.13727708415551476,0.036861195716913236
rsvd_srft,21,0.09557873908194646,0.021462694066153306
rsvd_srft,31,0.07318602849676156,0.01445423916698572
rsvd_srft,41,0.05900552424352857,0.010855306553618353
rsvd_srft,50,0.049822310241723386,0.008748097708336242
rsvd_srft,60,0.04226067793873174,0.006859252591213911
rsvd_srft,70,0.03670664010816805,0.005634809958744334
rsvd_srft,80,0.03242968202062488,0.0048802209699716935
rsvd_srft,90,0.028896658422469607,0.004058081758203094
rsvd_srft,100,0.026157876397227473,0.0035514165552894966
rrqr,1,0.5348718410399946,0.3831102700094977
rrqr,11,0.18863203132607573,0.06247008235708404
rrqr,21,0.13359922789269232,0.038832702887703976
rrqr,31,0.10262190850593923,0.02450902064444023
rrqr,41,0.08483125375666047,0.01951473656682191
rrqr,50,0.07105500697559278,0.016062020838883008
rrqr,60,0.05985653871389459,0.011688643088160701
rrqr,70,0.051912137843257856,0.009005162975361613
rrqr,80,0.04633058791332087,0.007942574584641716
rrqr,90,0.041444356260689666,0.007171420751702974
rrqr,100,0.037381444042946715,0.006498767768667846
